Grafo,|V|,|E|,Densidade,Objetivo,Tempo (s),Status
myciel3.col,11,20,0.36,7.0,0.03,Ótimo
queen5_5.col,25,160,0.53,7.0,0.13,Ótimo
queen7_7.col,49,476,0.40,9.0,0.35,Ótimo
hamming6-4.col,64,704,0.35,10.0,0.37,Ótimo
johnson8-4-4.col,70,1855,0.77,5.0,0.21,Ótimo
david.col,87,406,0.11,6.0,0.02,Ótimo
myciel6.col,95,755,0.17,12.0,0.95,Ótimo
johnson16-2-4.col,120,5460,0.76,5.0,8.92,Ótimo
queen11_11.col,121,1980,0.27,14.0,900.38,Melhor
DSJC125.5.col,125,3891,0.50,8.0,15.24,Ótimo
miles250.col,128,387,0.05,68.0,0.44,Ótimo
mulsol.i.3.col,184,3916,0.23,26.0,0.12,Ótimo
mulsol.i.5.col,186,3973,0.23,26.0,0.11,Ótimo
myciel7.col,191,2360,0.13,13.0,6.65,Ótimo
c-fat200-1.col,200,1534,0.08,37.0,3.69,Ótimo
c-fat200-5.col,200,8473,0.43,7.0,5.55,Ótimo
brock200_3.col,200,12048,0.61,7.0,70.95,Ótimo
sanr200_0.7.col,200,13868,0.70,6.0,15.21,Ótimo
san200_0.7_1.col,200,13930,0.70,6.0,73.52,Ótimo
san200_0.7_2.col,200,13930,0.70,6.0,12.39,Ótimo
zeroin.i.1.col,211,4100,0.19,175.0,0.15,Ótimo
queen16_16.col,256,6320,0.19,20.0,900.15,Melhor
hamming8-4.col,256,20864,0.64,6.0,20.99,Ótimo
hamming8-2.col,256,31616,0.97,4.0,1.16,Ótimo
flat300_28_0.col,300,21695,0.48,10.0,900.60,Melhor
p_hat300-3.col,300,33390,0.74,5.0,18.97,Ótimo
san400_0.5_1.col,400,39900,0.50,8.0,900.55,Melhor
san400_0.7_1.col,400,55860,0.70,6.0,900.90,Melhor
gen400_p0.9_55.col,400,71820,0.90,4.0,43.04,Ótimo
le450_5a.col,450,5714,0.06,65.0,900.13,Melhor
le450_5b.col,450,5734,0.06,66.0,900.12,Melhor
le450_25b.col,450,8263,0.08,83.0,29.74,Ótimo
le450_15d.col,450,16750,0.17,25.0,900.35,Melhor
le450_25c.col,450,17343,0.17,31.0,410.19,Ótimo
c-fat500-1.col,500,4459,0.04,80.0,2.98,Ótimo
DSJR500.1.col,500,3555,0.03,110.0,198.76,Ótimo
p_hat500-2.col,500,62946,0.50,8.0,109.29,Ótimo
DSJC500.5.col,500,62624,0.50,10.0,900.70,Melhor
DSJC500.9.col,500,112437,0.90,5.0,427.87,Ótimo
inithx.i.2.col,645,13979,0.07,180.0,0.33,Ótimo
brock800_3.col,800,207333,0.65,8.0,902.62,Melhor
brock800_4.col,800,207643,0.65,8.0,902.02,Melhor
DSJC1000.1.col,1000,49629,0.10,50.0,900.62,Melhor
p_hat1000-2.col,1000,244799,0.49,9.0,902.46,Melhor
flat1000_50_0.col,1000,245000,0.49,12.0,902.40,Melhor
DSJC1000.5.col,1000,249826,0.50,12.0,903.25,Melhor
DSJC1000.9.col,1000,449449,0.90,5.0,904.06,Melhor
hamming10-4.col,1024,434176,0.83,5.0,284.01,Ótimo
p_hat1500-3.col,1500,847244,0.75,6.0,908.22,Melhor
keller6.col,3361,4619898,0.82,28.0,945.47,Melhor
